Date,Right ascension (in seconds),Declination (in arc seconds)
1036-01-01 07:00:00,63353.88,-79026.5
1036-01-01 19:00:00,63519.5,-79194.1
1036-01-02 07:00:00,63694.6,-79389.6
1036-01-02 19:00:00,63874.74,-79485.3
1036-01-03 07:00:00,63996.04,-79655.1
1036-01-03 19:00:00,64161.42,-79764.8
1036-01-04 07:00:00,64330.32,-79893.4
1036-01-04 19:00:00,64465.01,-79942.8
1036-01-05 07:00:00,64621.6,-80083.6
1036-01-05 19:00:00,64778.59,-80185.0
1036-01-06 07:00:00,64941.98,-80226.1
1036-01-06 19:00:00,65134.51,-80338.4
1036-01-07 07:00:00,65279.53,-80323.3
1036-01-07 19:00:00,65413.22,-80409.2
1036-01-08 07:00:00,65574.92,-80480.8
1036-01-08 19:00:00,65757.88,-80467.5
1036-01-09 07:00:00,65921.48,-80547.6
1036-01-09 19:00:00,66072.74,-80550.2
1036-01-10 07:00:00,66249.49,-80514.7
1036-01-10 19:00:00,66390.09,-80509.3
1036-01-11 07:00:00,66551.36,-80540.6
1036-01-11 19:00:00,66713.65,-80400.9
1036-01-12 07:00:00,66879.58,-80367.7
1036-01-12 19:00:00,67018.35,-80381.6
1036-01-13 07:00:00,67182.52,-80283.2
1036-01-13 19:00:00,67357.65,-80252.4
1036-01-14 07:00:00,67493.5,-80158.8
1036-01-14 19:00:00,67670.9,-80080.2
1036-01-15 07:00:00,67829.39,-79900.5
1036-01-15 19:00:00,67967.37,-79787.7
1036-01-16 07:00:00,68140.99,-79725.5
1036-01-16 19:00:00,68323.99,-79552.5
1036-01-17 07:00:00,68457.3,-79518.7
1036-01-17 19:00:00,68619.32,-79289.9
1036-01-18 07:00:00,68764.33,-79069.8
1036-01-18 19:00:00,68929.64,-78922.7
1036-01-19 07:00:00,69100.18,-78766.8
1036-01-19 19:00:00,69254.56,-78593.6
1036-01-20 07:00:00,69400.77,-78423.4
1036-01-20 19:00:00,69553.43,-78209.2
1036-01-21 07:00:00,69729.56,-77982.4
1036-01-21 19:00:00,69884.89,-77706.8
1036-01-22 07:00:00,70035.64,-77581.6
1036-01-22 19:00:00,70201.86,-77313.6
1036-01-23 07:00:00,70364.93,-77027.0
1036-01-23 19:00:00,70541.22,-76774.5
1036-01-24 07:00:00,70685.99,-76564.1
1036-01-24 19:00:00,70822.68,-76228.0
1036-01-25 07:00:00,71026.85,-75964.5
1036-01-25 19:00:00,71143.25,-75583.4
1036-01-26 07:00:00,71289.31,-75277.7
1036-01-26 19:00:00,71455.83,-75017.9
1036-01-27 07:00:00,71590.73,-74624.7
1036-01-27 19:00:00,71764.77,-74296.3
1036-01-28 07:00:00,71918.58,-73889.9
1036-01-28 19:00:00,72067.23,-73671.9
1036-01-29 07:00:00,72237.65,-73246.2
1036-01-29 19:00:00,72412.47,-72808.8
1036-01-30 07:00:00,72567.75,-72500.6
1036-01-30 19:00:00,72696.6,-72155.2
1036-01-31 07:00:00,72879.53,-71708.2
1036-01-31 19:00:00,73012.6,-71294.1
1036-02-01 07:00:00,73163.49,-70816.0
1036-02-01 19:00:00,73321.17,-70418.2
1036-02-02 07:00:00,73473.97,-69920.9
1036-02-02 19:00:00,73629.19,-69615.6
1036-02-03 07:00:00,73773.52,-69173.7
1036-02-03 19:00:00,73924.84,-68638.9
1036-02-04 07:00:00,74090.97,-68193.1
1036-02-04 19:00:00,74255.94,-67654.6
1036-02-05 07:00:00,74390.8,-67265.1
1036-02-05 19:00:00,74553.62,-66755.8
1036-02-06 07:00:00,74698.71,-66152.5
1036-02-06 19:00:00,74858.75,-65727.1
1036-02-07 07:00:00,75042.84,-65193.4
1036-02-07 19:00:00,75132.52,-64632.8
1036-02-08 07:00:00,75306.55,-64122.6
1036-02-08 19:00:00,75460.49,-63616.4
1036-02-09 07:00:00,75589.2,-63034.1
1036-02-09 19:00:00,75768.55,-62453.3
1036-02-10 07:00:00,75922.16,-61968.9
1036-02-10 19:00:00,76054.17,-61332.7
1036-02-11 07:00:00,76200.68,-60798.4
1036-02-11 19:00:00,76368.44,-60207.3
1036-02-12 07:00:00,76513.36,-59626.8
1036-02-12 19:00:00,76687.18,-58968.3
1036-02-13 07:00:00,76812.82,-58370.3
1036-02-13 19:00:00,76952.07,-57845.6
1036-02-14 07:00:00,77094.91,-57175.8
1036-02-14 19:00:00,77250.54,-56552.0
1036-02-15 07:00:00,77390.11,-55927.0
1036-02-15 19:00:00,77549.62,-55437.0
1036-02-16 07:00:00,77702.46,-54651.9
1036-02-16 19:00:00,77839.87,-54017.2
1036-02-17 07:00:00,77998.49,-53408.6
1036-02-17 19:00:00,78141.45,-52741.0
1036-02-18 07:00:00,78270.99,-51981.3
