Date,Right ascension,Declination
1041-01-01 07:00:00,18 57 07.12,-22 50 38.5
1041-01-01 19:00:00,18 59 49.26,-22 48 05.7
1041-01-02 07:00:00,19 02 32.57,-22 45 25.3
1041-01-02 19:00:00,19 05 14.49,-22 42 31.7
1041-01-03 07:00:00,19 07 57.57,-22 39 30.4
1041-01-03 19:00:00,19 10 39.25,-22 36 16.0
1041-01-04 07:00:00,19 13 22.06,-22 32 53.9
1041-01-04 19:00:00,19 16 03.46,-22 29 18.9
1041-01-05 07:00:00,19 18 45.99,-22 25 36.3
1041-01-05 19:00:00,19 21 27.09,-22 21 40.8
1041-01-06 07:00:00,19 24 09.30,-22 17 37.7
1041-01-06 19:00:00,19 26 50.07,-22 13 22.0
1041-01-07 07:00:00,19 29 31.94,-22 08 58.6
1041-01-07 19:00:00,19 32 12.36,-22 04 22.7
1041-01-08 07:00:00,19 34 53.86,-21 59 39.3
1041-01-08 19:00:00,19 37 33.90,-21 54 43.4
1041-01-09 07:00:00,19 40 15.01,-21 49 40.1
1041-01-09 19:00:00,19 42 54.64,-21 44 24.5
1041-01-10 07:00:00,19 45 35.35,-21 39 01.5
1041-01-10 19:00:00,19 48 14.56,-21 33 26.5
1041-01-11 07:00:00,19 50 54.83,-21 27 44.0
1041-01-11 19:00:00,19 53 33.60,-21 21 49.6
1041-01-12 07:00:00,19 56 13.42,-21 15 48.0
1041-01-12 19:00:00,19 58 51.73,-21 09 34.5
1041-01-13 07:00:00,20 01 31.08,-21 03 13.9
1041-01-13 19:00:00,20 04 08.92,-20 56 41.7
1041-01-14 07:00:00,20 06 47.78,-20 50 02.3
1041-01-14 19:00:00,20 09 25.12,-20 43 11.5
1041-01-15 07:00:00,20 12 03.49,-20 36 13.7
1041-01-15 19:00:00,20 14 40.32,-20 29 04.6
1041-01-16 07:00:00,20 17 18.17,-20 21 48.6
1041-01-16 19:00:00,20 19 54.49,-20 14 21.5
1041-01-17 07:00:00,20 22 31.81,-20 06 47.5
1041-01-17 19:00:00,20 25 07.59,-19 59 02.8
1041-01-18 07:00:00,20 27 44.38,-19 51 11.2
1041-01-18 19:00:00,20 30 19.62,-19 43 08.9
1041-01-19 07:00:00,20 32 55.86,-19 35 00.0
1041-01-19 19:00:00,20 35 30.54,-19 26 40.6
1041-01-20 07:00:00,20 38 06.23,-19 18 14.7
1041-01-20 19:00:00,20 40 40.35,-19 09 38.5
1041-01-21 07:00:00,20 43 15.47,-19 00 55.8
1041-01-21 19:00:00,20 45 49.03,-18 52 03.1
1041-01-22 07:00:00,20 48 23.58,-18 43 04.0
1041-01-22 19:00:00,20 50 56.56,-18 33 55.0
1041-01-23 07:00:00,20 53 30.54,-18 24 39.8
1041-01-23 19:00:00,20 56 02.95,-18 15 15.1
1041-01-24 07:00:00,20 58 36.34,-18 05 44.1
1041-01-24 19:00:00,21 01 08.17,-17 56 03.8
1041-01-25 07:00:00,21 03 40.98,-17 46 17.4
1041-01-25 19:00:00,21 06 12.22,-17 36 21.8
1041-01-26 07:00:00,21 08 44.45,-17 26 20.4
1041-01-26 19:00:00,21 11 15.11,-17 16 10.0
1041-01-27 07:00:00,21 13 46.75,-17 05 53.7
1041-01-27 19:00:00,21 16 16.82,-16 55 28.8
1041-01-28 07:00:00,21 18 47.88,-16 44 58.2
1041-01-28 19:00:00,21 21 17.37,-16 34 19.1
1041-01-29 07:00:00,21 23 47.84,-16 23 34.5
1041-01-29 19:00:00,21 26 16.75,-16 12 41.6
1041-01-30 07:00:00,21 28 46.63,-16 01 43.3
1041-01-30 19:00:00,21 31 14.97,-15 50 36.9
1041-01-31 07:00:00,21 33 44.27,-15 39 25.3
1041-01-31 19:00:00,21 36 12.03,-15 28 05.9
1041-02-01 07:00:00,21 38 40.76,-15 16 41.3
1041-02-01 19:00:00,21 41 07.94,-15 05 09.2
1041-02-02 07:00:00,21 43 36.10,-14 53 32.0
1041-02-02 19:00:00,21 46 02.71,-14 41 47.6
1041-02-03 07:00:00,21 48 30.30,-14 29 58.3
1041-02-03 19:00:00,21 50 56.35,-14 18 01.8
1041-02-04 07:00:00,21 53 23.38,-14 06 00.7
1041-02-04 19:00:00,21 55 48.87,-13 53 52.7
1041-02-05 07:00:00,21 58 15.35,-13 41 40.2
1041-02-05 19:00:00,22 00 40.29,-13 29 21.0
1041-02-06 07:00:00,22 03 06.22,-13 16 57.4
1041-02-06 19:00:00,22 05 30.62,-13 04 27.4
1041-02-07 07:00:00,22 07 56.01,-12 51 53.2
1041-02-07 19:00:00,22 10 19.89,-12 39 12.8
1041-02-08 07:00:00,22 12 44.75,-12 26 28.3
1041-02-08 19:00:00,22 15 08.11,-12 13 37.8
1041-02-09 07:00:00,22 17 32.45,-12 00 43.4
1041-02-09 19:00:00,22 19 55.30,-11 47 43.2
1041-02-10 07:00:00,22 22 19.15,-11 34 39.2
1041-02-10 19:00:00,22 24 41.50,-11 21 29.7
1041-02-11 07:00:00,22 27 04.85,-11 08 16.6
1041-02-11 19:00:00,22 29 26.72,-10 54 58.2
1041-02-12 07:00:00,22 31 49.60,-10 41 36.3
1041-02-12 19:00:00,22 34 11.01,-10 28 09.3
1041-02-13 07:00:00,22 36 33.42,-10 14 39.0
1041-02-13 19:00:00,22 38 54.38,-10 01 03.8
1041-02-14 07:00:00,22 41 16.35,-09 47 25.4
1041-02-14 19:00:00,22 43 36.86,-09 33 42.4
1041-02-15 07:00:00,22 45 58.41,-09 19 56.3
1041-02-15 19:00:00,22 48 18.50,-09 06 05.8
1041-02-16 07:00:00,22 50 39.63,-08 52 12.4
1041-02-16 19:00:00,22 52 59.32,-08 38 14.8
1041-02-17 07:00:00,22 55 20.06,-08 24 14.5
1041-02-17 19:00:00,22 57 39.36,-08 10 10.1
1041-02-18 07:00:00,22 59 59.72,-07 56 03.2
1041-02-18 19:00:00,23 02 18.66,-07 41 52.4
1041-02-19 07:00:00,23 04 38.66,-07 27 39.3
1041-02-19 19:00:00,23 06 57.25,-07 13 22.5
1041-02-20 07:00:00,23 09 16.90,-06 59 03.5
1041-02-20 19:00:00,23 11 35.16,-06 44 41.1
1041-02-21 07:00:00,23 13 54.49,-06 30 16.5
1041-02-21 19:00:00,23 16 12.44,-06 15 48.8
1041-02-22 07:00:00,23 18 31.47,-06 01 19.1
1041-02-22 19:00:00,23 20 49.13,-05 46 46.4
1041-02-23 07:00:00,23 23 07.87,-05 32 12.0
1041-02-23 19:00:00,23 25 25.25,-05 17 34.7
1041-02-24 07:00:00,23 27 43.74,-05 02 55.8
1041-02-24 19:00:00,23 30 00.87,-04 48 14.3
1041-02-25 07:00:00,23 32 19.11,-04 33 31.4
1041-02-25 19:00:00,23 34 36.00,-04 18 46.0
1041-02-26 07:00:00,23 36 54.02,-04 03 59.3
1041-02-26 19:00:00,23 39 10.70,-03 49 10.4
1041-02-27 07:00:00,23 41 28.52,-03 34 20.5
1041-02-27 19:00:00,23 43 45.01,-03 19 28.4
